Column Name,Description
timestamp,The timestamp indicating when the survey was submitted by the respondent
gender,The gender of the respondent
age,"The age bracket of the respondent, grouped in 5-year intervals"
cultural_identity,The cultural identity of the respondent
occupation,The occupation of the respondent
skincare_importance,"The respondent's ranking of skincare importance on a scale of 1–5 (1 being low, 5 being very important)"
skincare_experience,Whether the respondent has experience using skincare products
skin_type,"Skin characteristics that apply to the respondent (e.g., oily skin, dark spots, etc.)"
perceptions_of_ingredients,Ingredients that make the respondent more likely to purchase a skincare product
product_choice_process,Factors that influence the respondent’s product purchasing decisions
use_of_samples,Whether the respondent uses samples before purchasing skincare products
purchase_frequency,"How often the respondent purchases new skincare products, on a scale of very often, often, sometimes, rarely, or never"
trying_new_skincare,"The respondent's willingness to try new products on a scale of 1–5 (1 being low, 5 being very high)"
where_purchased,The places where respondents purchase their skincare products
skincare_spending,"The average amount spent on skincare products monthly, in Malaysian Ringgit"
time_spent_finding_routine,"The time wasted finding a suitable skincare routine, rated on a scale of 1–5 (1 being low, 5 being very high)"
doubts_skincare_media,"The respondent's doubt about information shared by influencers and brand-promoted content, rated on a scale of 1–5 (1 being low, 5 being very high)"
understanding_of_products,"The difficulty in understanding the list of ingredients in skincare products, rated on a scale of 1–5 (1 being easy, 5 being very difficult)"
product_no_improvement,"Applicability of the statement: 'I have bought expensive products but didn't see any improvement in my skin,' rated on a scale of 1–5 (1 being not applicable, 5 being very applicable)"
unaware_ingredient_quality,"The respondent's knowledge of which ingredients to avoid for their skin type, rated on a scale of 1–5 (1 being highly aware, 5 being unaware)"
experienced_allergies,"Frequency of experiencing allergies after using a new skincare product (e.g., rashes, acne, purging), rated on a scale of 1–5 (1 being never, 5 being very frequent)"
desire_skincare_efficiency,"The desire to reduce the time spent finding a suitable skincare routine, rated on a scale of 1–5 (1 being none, 5 being very high)"
want_solutions,"The desire to receive expert skincare solutions in an effortless and affordable way, rated on a scale of 1–5 (1 being none, 5 being very high)"
desire_for_routine,"The desire for a personalized skincare routine that suits the respondent's current products, rated on a scale of 1–5 (1 being none, 5 being very high)"
desire_know_more,"The desire to gain more knowledge about skincare routines, rated on a scale of 1–5 (1 being none, 5 being very high)"
desire_better_lifestyle,"The desire to adopt a healthy lifestyle for glowing and healthy skin, rated on a scale of 1–5 (1 being none, 5 being very high)"
perceptions_of_technology,"The respondent's belief that technology can improve their skincare routine, rated on a scale of 1–5 (1 being none, 5 being very high)"
heard_of_ai,Whether the respondent has heard of AI face scanning
perceptions_skin_scanning,Whether the respondent is willing to use a skin scanning app that can customize skincare routines
excitement_skincare_ai,"The respondent's excitement about using AI skincare applications, rated on a scale of 1–5 (1 being little, 5 being very high)"
motivations,The respondent's goals and motivations for improving their skincare
